id,url,accession_number,region_general_made,region_specific_made,technique,shape,attribution,painter_group,painter_subgroup,earliest_date,latest_date,date_range,authority,height_cm,provenance,comments
512,http://www.beazley.ox.ac.uk/record/E62E379B-481B-4CEE-BB38-1636F61E264E,"Berlin, Antikensammlung 4950  Karlsruhe, A. Vogell  Berlin, Schloss Charlottenburg 4950",greece_central,athens,black-figure,amphora_panathenaic,NA,NA,NA,-200,-100,100,BAPD,NA,"russia, south, olbia",NA
531,http://www.beazley.ox.ac.uk/record/5F44135F-E5FE-446A-876B-4500114C83F3,"Rome, Mus. Naz. Etrusco di Villa Giulia 869 ",greece_central,athens,red-figure,pelike,s-potter*,NA,NA,-450,-400,50,BAPD,NA,"italy, falerii",NA
586,http://www.beazley.ox.ac.uk/record/C7B01CA6-6B10-49F5-B958-707CDA7F4483,"Wurzburg, Universitat, Martin von Wagner Mus. H4928 ",greece_central,athens,black-figure,amphora_b,manner of gorgon p,NA,NA,-600,-550,50,BAPD,NA,NA,NA
595,http://www.beazley.ox.ac.uk/record/DF872831-BD19-4FAB-9D94-F1C17B480831,"Boston (MA), Museum of Fine Arts 86.155 ",greece_central,athens,black-figure,amphora_neck,euphiletos p,NA,NA,-550,-500,50,BAPD,NA,NA,NA
609,http://www.beazley.ox.ac.uk/record/FD2ACD71-2A2B-4DED-A167-CD88D4CD74DE,"Leiden, Rijksmuseum van Oudheden I1965.10.1  Leiden, Rijksmuseum van Oudheden I1956.10.1",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-525,-475,50,BAPD,NA,NA,NA
614,http://www.beazley.ox.ac.uk/record/989D5249-7431-4419-BD0C-B9B4540DDF48,"Leiden, Rijksmuseum van Oudheden PC20  Unknown, Canino Collection 450",greece_central,athens,black-figure,amphora_neck,dot_band_class,NA,NA,-525,-475,50,BAPD,NA,"italy, etruria, vulci",NA
618,http://www.beazley.ox.ac.uk/record/A4210B42-DD3A-45FB-8BE7-E6FE69E1FFF7,"Leiden, Rijksmuseum van Oudheden PC13  Unknown, Canino Collection 1721",greece_central,athens,black-figure,amphora_neck,london_b_288_p,NA,NA,-525,-475,50,BAPD,NA,"italy, etruria, vulci",NA
621,http://www.beazley.ox.ac.uk/record/5101AE24-DAC4-4EC9-9035-859F7E58D403,"Leiden, Rijksmuseum van Oudheden I1965.11.2",greece_central,athens,black-figure,amphora_b,nikosthenes potter,NA,NA,-550,-500,50,BAPD,NA,"italy, etruria, vulci",NA
622,http://www.beazley.ox.ac.uk/record/1F3865BE-3FFA-42BC-8F08-4E5B0C1642A8,"Leiden, Rijksmuseum van Oudheden I1965.11.1 ",greece_central,athens,black-figure,amphora_b,NA,NA,NA,-575,-525,50,BAPD,NA,"italy, etruria, vulci",NA
626,http://www.beazley.ox.ac.uk/record/9643B9B8-B6F1-444F-A8CC-0922CA5357BD,"Leiden, Rijksmuseum van Oudheden PC2  Unknown, Canino Collection 1817",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
627,http://www.beazley.ox.ac.uk/record/C244779D-C84F-4107-9239-CB63DF9ECC14,"Leiden, Rijksmuseum van Oudheden XVE29  Unknown, Canino Collection 1199  Leiden, Rijksmuseum van Oudheden PC48",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,"italy, etruria, vulci",NA
638,http://www.beazley.ox.ac.uk/record/28680A37-2C73-4C53-8F71-08810D474B49,"Mannheim, Reiss-Museum CG363  Basel, market, Munzen und Medaillen A.G.",greece_central,athens,black-figure,amphora_neck,antimenes_p_compare,NA,NA,-550,-500,50,NA,NA,NA,NA
642,http://www.beazley.ox.ac.uk/record/C8502E1D-D5BA-4001-843C-919B68889407,"Bremen, Zimmermann (Antikenmuseum im Schnoor)  Basel, market, Munzen und Medaillen A.G.",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,NA,NA
664,http://www.beazley.ox.ac.uk/record/9049938A-A04E-432B-96B7-FB8A4C08301F,"New York (NY), Metropolitan Museum 06.1021.29 ",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-575,-525,50,BAPD,NA,NA,NA
665,http://www.beazley.ox.ac.uk/record/836C8CCD-1425-47CF-A72F-58284FC158E3,"New York (NY), Metropolitan Museum 66.80 ",greece_central,athens,black-figure,amphora_neck,timiades p,NA,NA,-575,-525,50,BAPD,NA,"italy, etruria, cerveteri (?)",NA
678,http://www.beazley.ox.ac.uk/record/EF78BD03-701C-4D23-A5C1-B1691019D117,"Gela, Museo Archeologico N114 ",greece_central,athens,red-figure,pelike,pig p,NA,NA,-475,-425,50,BAPD,NA,NA,NA
